,BEGDATE,COUNTY,DIR,PEAKHR,SITE,TRUCKS,TYPE,PEAKVOL,Price,Row Count,Row Count - TrafficCounts.txt,TOTVOL,late night,early morning,morning,afternoon,evening,night,late_night_median,early_morning_median,morning_median,afternoon_median,evening_median,night_median
0,1/1/2016,75,E,16,38,,H,982,1.5,1,1,12692,1034,744,2529,3731,3277,1377,517,2453,4876,5346,5117,2118
1,1/1/2016,75,E,14,104,,H,988,0.28,1,1,11372,951,609,2143,3635,2714,1320,517,2453,4876,5346,5117,2118
2,1/1/2016,75,E,13,336,,H,1937,1.64,1,1,22595,1635,930,4372,7054,5712,2892,517,2453,4876,5346,5117,2118
3,1/1/2016,75,E,12,130,,H,5402,1.3,1,1,88437,13320,5708,17711,20661,17335,13702,517,2453,4876,5346,5117,2118
4,1/1/2016,75,N,15,175,,H,771,1.09,1,1,11005,1131,743,2043,2875,2848,1365,517,2453,4876,5346,5117,2118
5,1/1/2016,75,N,18,154,,H,1448,1.37,1,1,22889,2406,1554,3470,5493,5566,4400,517,2453,4876,5346,5117,2118
6,1/1/2016,77,E,17,299,,H,362,0.55,1,1,4497,305,239,985,1381,1156,431,517,2453,4876,5346,5117,2118
7,1/1/2016,77,E,19,197,,H,920,2,1,1,12603,1323,590,1883,3563,3432,1812,517,2453,4876,5346,5117,2118
8,1/1/2016,77,E,14,343,,H,4367,0.5,1,1,63346,6823,3855,12113,16902,14900,8753,517,2453,4876,5346,5117,2118
9,1/1/2016,77,N,14,102,,H,1016,0.82,1,1,13059,998,532,2326,3854,3508,1841,517,2453,4876,5346,5117,2118
10,2/1/2016,75,E,14,38,,N,1352,1.5,1,1,16096,403,1091,4027,5036,3974,1565,517,2453,4876,5346,5117,2118
11,2/1/2016,75,E,16,104,,N,915,0.28,1,1,11809,385,684,2471,3533,3129,1607,517,2453,4876,5346,5117,2118
12,2/1/2016,75,E,13,336,,A,1845,1.64,1,1,23933,828,1392,5522,6613,5821,3757,517,2453,4876,5346,5117,2118
13,2/1/2016,75,E,14,130,,A,5334,1.3,1,1,87738,6145,7641,18546,19913,18554,16939,517,2453,4876,5346,5117,2118
14,2/1/2016,75,N,12,175,,A,1046,1.09,1,1,13740,488,972,3184,3900,3523,1673,517,2453,4876,5346,5117,2118
15,2/1/2016,75,N,18,154,,A,1729,1.37,1,1,24562,1363,1713,4062,6024,6363,5037,517,2453,4876,5346,5117,2118
16,2/1/2016,77,E,12,299,,N,405,0.55,1,1,5165,114,382,1210,1531,1329,599,517,2453,4876,5346,5117,2118
17,2/1/2016,77,E,14,197,,A,1266,2,1,1,15951,514,918,3414,4756,4127,2222,517,2453,4876,5346,5117,2118
18,2/1/2016,77,E,14,343,,A,4831,0.5,1,1,72331,3281,6682,16363,19056,15966,10983,517,2453,4876,5346,5117,2118
19,2/1/2016,77,N,15,102,,N,1385,0.82,1,1,16487,503,669,3527,5377,4298,2113,517,2453,4876,5346,5117,2118
20,3/1/2016,75,E,14,38,,A,1211,1.5,1,1,12542,408,847,3056,4178,2937,1116,517,2453,4876,5346,5117,2118
21,3/1/2016,75,E,15,104,,N,824,0.28,1,1,9567,523,429,1810,3065,2659,1081,517,2453,4876,5346,5117,2118
22,3/1/2016,75,E,12,336,,A,1685,1.64,1,1,20051,1112,1135,4821,5410,4830,2743,517,2453,4876,5346,5117,2118
23,3/1/2016,75,E,13,130,,A,4594,1.3,1,1,70866,6515,5493,15455,17757,15588,10058,517,2453,4876,5346,5117,2118
24,3/1/2016,75,N,13,175,,N,1068,1.09,1,1,11586,559,746,2555,3693,2863,1170,517,2453,4876,5346,5117,2118
25,3/1/2016,75,N,14,154,,A,1568,1.37,1,1,23260,1713,1759,3561,6028,5762,4437,517,2453,4876,5346,5117,2118
26,3/1/2016,77,E,14,299,,N,388,0.55,1,1,4265,141,342,936,1411,1029,406,517,2453,4876,5346,5117,2118
27,3/1/2016,77,E,16,197,,A,1054,2,1,1,12511,571,572,2579,4147,3326,1316,517,2453,4876,5346,5117,2118
28,3/1/2016,77,E,13,343,,A,4019,0.5,1,1,53809,3952,4020,10849,15729,12743,6516,517,2453,4876,5346,5117,2118
29,3/1/2016,77,N,14,102,,N,1108,0.82,1,1,12467,486,488,2399,4188,3465,1441,517,2453,4876,5346,5117,2118
30,4/1/2016,75,E,18,104,,N,1171,0.28,1,1,12286,227,1714,2367,2981,3783,1214,517,2453,4876,5346,5117,2118
31,4/1/2016,75,E,8,38,,N,1582,1.5,1,1,19434,291,3487,4834,5104,4497,1221,517,2453,4876,5346,5117,2118
32,4/1/2016,75,E,18,336,,N,1978,1.64,1,1,22765,764,2612,5352,5136,6432,2469,517,2453,4876,5346,5117,2118
33,4/1/2016,75,E,17,130,,N,5335,1.3,1,1,82006,3360,9928,19498,18952,18740,11528,517,2453,4876,5346,5117,2118
34,4/1/2016,75,N,9,175,,N,1472,1.09,1,1,20265,394,2995,5306,5369,4782,1419,517,2453,4876,5346,5117,2118
35,4/1/2016,75,N,18,154,,A,2205,1.37,1,1,29097,1453,3397,5739,7065,7442,4001,517,2453,4876,5346,5117,2118
36,4/1/2016,77,E,18,299,,N,623,0.55,1,1,6066,151,953,1232,1432,1814,484,517,2453,4876,5346,5117,2118
37,4/1/2016,77,E,18,197,,N,1788,2,1,1,22307,341,3007,5373,5922,5862,1802,517,2453,4876,5346,5117,2118
38,4/1/2016,77,E,18,343,,N,5732,0.5,1,1,71927,1859,9520,16303,17293,19660,7292,517,2453,4876,5346,5117,2118
39,4/1/2016,77,N,18,102,,N,1755,0.82,1,1,20285,329,1838,4453,5940,5857,1868,517,2453,4876,5346,5117,2118
40,5/1/2016,75,E,8,38,,N,1653,1.5,1,1,19075,265,3550,4758,4867,4424,1211,517,2453,4876,5346,5117,2118
41,5/1/2016,75,E,18,104,,N,1101,0.28,1,1,12115,264,1687,2322,2891,3736,1215,517,2453,4876,5346,5117,2118
42,5/1/2016,75,E,18,336,,A,1944,1.64,1,1,21304,756,2373,4799,4932,6237,2207,517,2453,4876,5346,5117,2118
43,5/1/2016,75,E,18,130,,N,5946,1.3,1,1,86948,3664,10725,20758,19795,20096,11910,517,2453,4876,5346,5117,2118
44,5/1/2016,75,N,8,175,,N,1483,1.09,1,1,20734,498,3130,5211,5438,4944,1513,517,2453,4876,5346,5117,2118
